Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,bug parent entity mongo parent child mongotemplate child string junit test situation setters accident project getchild template getid load database attribute criteria findone document dbref lot assertnull problems criteria setname,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug catalog product indexes github wrapper books code catalog https type productwrapper list startup definition spring data dbbug list types declaration agustisanchez mongodb wrapper time data content books infromation samples,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,bug translateexceptionifpossible exception exceptiontranslator translator mongotemplate mongo encounter user translator pointer exception code template original unknown translate result,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,fields nest field keywords bug field combination nested callback query string collection entityclass resolve getters dofind setters data disp objectcallback status object preparer entity mapped resolution list mappedquery object dbobjectcallback,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,property bug collection remove query datamongo bug jira embeddedobject collection query foo findbyembeddedin list spring https object embedded incorrect embedded relate browse find generate,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents bug max elements matching method nearquery geonear query object myobject nearquery type distance link template mongotemplate document distance location match findbytypeandlocationnear info dbobject todbobject log myobjecttype nearquery geo maxdistance,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item assertequals ids items type gettotalelements item repository types itemrepository list test sword swords elements mongo findbytypein collection allids itemrepository findbyidin type tostring classrunner runner content spring mongorepository,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-663,2013-04-24T03:21:19.000-05:00,,method field data springframework query mongodb org bug core equals spec field fieldspec unit equal fields testing fieldsequal implement,org.springframework.data.mongodb.core.query.Field
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,field bug field annotation ignore alias question question questionid query sort desc order answer score list score database findbyquestionidorderbyscoredesc string find attempts,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-423,2012-03-29T06:03:26.000-05:00,,regex bug util java criteria pattern dbobject basicdbobject basic insensitive type bson exception find compile complain,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.QueryTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,object bug objects type write update writeinternal info custom converter mappingmongoconverter mongo recursively comment application type call version release store runtime converttomongotype java database work point model method dbobject definition,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,derby-10.7.1.1,DERBY-4654,2010-05-12T05:27:40.000-05:00,,characters bug escape special doublequote quotes query names column vti sql quote restriction delimited database util normaltodelimited derby tosql problems idutil restriction proper normal external generate apache quoting add org,"org.apache.derbyTesting.functionTests.tests.lang.RestrictedVTITest
org.apache.derby.vti.Restriction"
