Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1014,2012-10-30T01:01:31.000-05:00,,bug custom error mime mimetypesreader handling types reader xml tags fields current,"tika-core.src.main.java.org.apache.tika.mime.MimeTypesReader.ClauseRecord
tika-core.src.test.java.org.apache.tika.TikaIT"
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,,Bug JAX server detect mediatype meta endpoint problem send entire document metadata order accomplish good modify meta endpoint address individual fields returned meta mediatype meta author meta lastModified parts path turned query parameter easier manipulate tools jquery sufficient data BAD REQUEST interest TIKA implement Bug set block table content data tree node character,tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,ToXMLContentHandler ElementInfo getPrefix Prefix Element Handler Info XMLContent StackOverFlowError Bug     StackOverflow error in org apache tika sax ToXMLContentHandler ElementInfo getPrefix ToXMLContentHandler java,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1074,2013-02-04T08:53:40.000-06:00,,Bug Spinoff TIKA issue problematic document document corrupt POI bug caused exception visiting embedded documents change Tika suppress exception document extracts fine Bug set block table content data tree node character,"tika-app.src.main.java.org.apache.tika.cli.TikaCLI
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.SummaryExtractor
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.AbstractPOIFSExtractor"
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,ChmLzxBlock extractChmEntry extractContent ChmExtractor Chm CHMDocumentInformation getContent getText parse Content ChmParser Bug     Process loops infinitely on parsing of a CHM file,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
CLASS,tika-1.3,TIKA-1192,2013-11-06T15:31:41.000-06:00,,exception arrayindexoutofboundsexception rtf bounds array bug parsing index java out word extractor lang file thread control bindings parsecontroltoken runworker threadpoolexecutor noformat eval parser extract form applyto comp sun process compiler,"tika-parsers.src.test.java.org.apache.tika.parser.rtf.RTFParserTest
tika-parsers.src.main.java.org.apache.tika.parser.rtf.TextExtractor"
CLASS,tika-1.3,TIKA-1211,2013-12-17T06:49:16.000-06:00,,document open start parser startdocument opendocument odf bug events multiple produces enddocuments documents elements tika feed files bug opendocumentfiles solr startdocuments solr xml content meta output prevents parsing receives xhtml,tika-core.src.main.java.org.apache.tika.sax.XHTMLContentHandler
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,bug library book book service bookservice java list library string bookrepository items exp list findbyid libraryrepository findall qbook dbref expression booleanexpression findbylibraryid repository expected find empty,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,createDBRef MappingMongoConverter QueryMapper CollectionNameProvidedMongoConverter MongoTemplate convertAssociation ExcludeDBRefFieldTest getMappedObject findOne toDBRef testExcludeChildren MappingException Bug     Excluding DBRef field in a query causes a MappingException,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug dbref property property entity converting findbyproperty convertingiterator array findbypropertyin collection dbrefs repository iterator execution reason entityrepository fail treats create translated find correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type typealias alias abstractmongoconfiguration configuration bug mongo annotation abstract classes document simple fine property mapping converter documentation creation converter aftermappingmongoconvertercreation annotations modifications simpletypeinformationmapper mapper annotate suggests writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
